word,frequency
lunggung,1
rasin,1
kabangkazan,1
mibangkai,1
midahava,1
utang,1
linuap,1
loduk,1
manantu,1
hukum,1
manampakai,1
ipatipat,1
ikid,1
koniu,1
tolingo,1
ravo,1
palung,1
osopung,1
sopung,1
andui,1
bumbung,1
mongohuntung,1
saddang,1
popogong,1
lingguvang,1
labak,1
induruhazan,1
sunud,1
otoduk,1
orobuk,1
obintongkizad,1
orompui,1
kosilahon,1
olosu,1
manalahas,1
otopu,1
obimpupusan,1
bontol,1
insimot,1
lalab,1
monguot,1
vizahon,1
babut,1
monoburus,1
butil,1
sugut,1
ingkuhol,1
kingkidan,1
imuk,1
inta,1
toguvang,1
loub,1
pomurasan,1
kopikondiri,1
sugat,1
torungak,1
potoguvang,1
akavut,1
tai,1
hokob,1
tangon,1
harapan,1
rumatu,1
humuzas,1
lunggaang,1
tahub,1
hotung,1
tingkulai,1
laha,1
monongginavo,1
dumumpau,1
mabpas,1
liad,1
raab,1
rudtu,1
ruru,1
nabpas,1
sohuru,1
vunsut,1
kovunsut,1
tubpo,1
noloho,1
munlabok,1
linahing,1
nomurok,1
liumiad,1
bantug,1
lunza,1
pusigot,1
sirang,1
longkuas,1
bogizu,1
ompodus,1
gantang,1
lumpat,1
gambil,1
mingtikam,1
momoi,1
samsing,1
pirangan,1
papangan,1
kabun,1
minukabun,1
imomoug,1
mongimomoug,1
benjin,1
husuk,1
dugaron,1
lalavangon,1
sumambayang,1
untun,1
rungkum,1
noumpug,1
piumpugan,1
kalasiu,1
timpano,1
gial,1
hampat,1
ahampat,1
muranzat,1
jinorito,1
kekuman,1
galaman,1
kozuhu,1
orimomol,1
buvol,1
olomoi,1
lomomoi,1
olomomoi,1
arantai,1
sobul,1
kuman,1
lumintanga,1
oduk,1
dadan,1
totok,1
gansad,1
butid,1
timbuku,1
titimbok,1
papas,1
angus,1
vuu,1
hamad,1
sompiding,1
kalamata,1
tisop,1
manambing,1
buur,1
payuk,1
kuradson,1
inavol,1
mibilad,1
kikizop,1
koyok,1
saputangan,1
sumpakon,1
ogivis,1
singgol,1
ginit,1
minoginit,1
parampai,1
runduk,1
kopol,1
kiumavid,1
pagamboi,1
gamboi,1
poginitan,1
bambol,1
linapu,1
nangko,1
togkol,1
panding,1
pungut,1
ramang,1
osolon,1
mongivogu,1
bolung,1
ivogu,1
ponsohorizan,1
supa,1
monguhod,1
humogizo,1
toboi,1
irung,1
tangop,1
simbong,1
suput,1
kohigizo,1
olunsung,1
misuput,1
lulukuan,1
piuhalan,1
rolos,1
lombiou,1
tinong,1
higak,1
unsopot,1
mongozou,1
moomihukum,1
indos,1
moninggohuk,1
topik,1
tuhop,1
nalazan,1
lopoi,1
humundok,1
tumindak,1
vikuton,1
dangol,1
rungin,1
tinulangon,1
tomod,1
miluu,1
pogintutunan,1
monutul,1
aisi,1
bungou,1
dara,1
sakai,1
bugang,1
kodingau,1
nosorou,1
kumina,1
sovolitodok,1
lingkasu,1
sosok,1
obungou,1
gontiai,1
baraling,1
ojoho,1
tojoho,1
odjoho,1
obong,1
gozitup,1
oluvit,1
toropatazo,1
oduruk,1
pasatirapus,1
lilung,1
bang,1
kalu,1
gampang,1
punovot,1
osusaan,1
tinoguvangon,1
osima,1
tosontumpuktumpuk,1
santap,1
potohuo,1
humavud,1
ingkong,1
umpaladan,1
tohungkoi,1
liumombus,1
otos,1
talab,1
minotos,1
undop,1
impa,1
kondingau,1
otuluk,1
rimbit,1
sumbu,1
sili,1
sandang,1
pasag,1
tarab,1
momintod,1
pintod,1
bintion,1
tazang,1
isouisou,1
apatai,1
lundong,1
pinatai,1
maamatai,1
bansa,1
sagut,1
lakuk,1
tizou,1
popok,1
tavaru,1
lotuk,1
tohung,1
homburung,1
hagavo,1
odonodon,1
ombilod,1
lias,1
basung,1
ombusolok,1
sansam,1
osikau,1
lunggotlunggot,1
hingot,1
kuli,1
kaput,1
kurang,1
asampit,1
nosompitan,1
botung,1
kimai,1
homu,1
tititiu,1
kubong,1
garan,1
dudul,1
sumondot,1
saddak,1
limatok,1
pompodtana,1
nozuzu,1
togorog,1
olobpus,1
likahan,1
tabaralang,1
gumoroi,1
olombon,1
olongou,1
langau,1
orungod,1
ontolob,1
rungangis,1
manggas,1
pikot,1
burusal,1
borusal,1
longkobungan,1
lungungud,1
langguk,1
kovian,1
lumaid,1
sikulab,1
tirai,1
sinandung,1
bilotugon,1
toburi,1
sapit,1
giras,1
puparai,1
rumandavi,1
vodit,1
susuhuon,1
suluw,1
sapol,1
lumavus,1
tinggazan,1
putanaon,1
bintanok,1
momonsoi,1
avas,1
momuhak,1
sibol,1
mijanji,1
otuk,1
mangarantai,1
kumunsou,1
mongolobong,1
sundung,1
lobu,1
virud,1
lumagui,1
minongimuhun,1
ipatali,1
tolintang,1
mantas,1
uzok,1
manavun,1
manalaga,1
vorun,1
landu,1
monginggirit,1
mangamalu,1
pentahan,1
pasok,1
vovozuhon,1
ronuw,1
sorupai,1
tolutu,1
tongkungon,1
tontorok,1
pinizas,1
rinugading,1
tungap,1
pompo,1
ondulupang,1
napapal,1
tonibung,1
bolitan,1
tomborungus,1
majabou,1
lamut,1
bokusan,1
kadadak,1
liliukon,1
korumanggalang,1
porizavon,1
ravun,1
panatan,1
togumamal,1
ompinahat,1
lonsok,1
pungaranan,1
ipus,1
usul,1
tuturan,1
apadot,1
dongot,1
bungkau,1
kanggan,1
vangun,1
oguvail,1
akarog,1
soluhan,1
pusod,1
rinait,1
litai,1
dontol,1
tiumoning,1
laving,1
rili,1
bozigi,1
asip,1
tomodon,1
mongontupat,1
pantang,1
antalab,1
salou,1
najadi,1
kolibutan,1
hinsaban,1
adsang,1
ingkukuuk,1
tahum,1
hungangab,1
milod,1
luzung,1
hadtong,1
nolivang,1
bohog,1
origai,1
panggam,1
kiis,1
kumaus,1
tunui,1
sugul,1
hamba,1
parasambaan,1
upis,1
gontoringai,1
soumul,1
boboroson,1
miyak,1
daram,1
oluning,1
ba,1
oloun,1
utatang,1
dompihot,1
linopot,1
opusok,1
mobod,1
gau,1
sampug,1
umo,1
rahami,1
kurulu,1
oruhai,1
kandadu,1
moongumo,1
lapis,1
naharagan,1
loni,1
sosohuk,1
sagou,1
ruol,1
okogid,1
momotik,1
sakup,1
istana,1
ngahad,1
oposi,1
polod,1
burungan,1
dazang,1
nomumungan,1
tumigagang,1
belbotom,1
lindu,1
suriban,1
surga,1
rampanau,1
lumoput,1
mamungamung,1
guzu,1
migogol,1
suku,1
obolikung,1
bolungkahangon,1
mongoduat,1
burang,1
rinangkazan,1
ahago,1
lombungan,1
anamit,1
lumangkas,1
osingat,1
ozizingo,1
agaangaan,1
mogkikip,1
garai,1
poris,1
okorotok,1
paluw,1
korid,1
kempanas,1
magadarun,1
tuvad,1
tuzad,1
lumaag,1
kensavatan,1
pangkau,1
suminggol,1
tobus,1
sabuw,1
baagbaag,1
sumuvot,1
kingkig,1
sogo,1
bidai,1
marau,1
vadan,1
kurugu,1
uri,1
sovolok,1
virang,1
linau,1
tivol,1
sunggu,1
mingagavoi,1
boyobo,1
obubut,1
pinadaha,1
lungui,1
kolunguzan,1
nolodis,1
umbasibasi,1
suzad,1
natok,1
rumbizo,1
rompit,1
piningbarasan,1
lazag,1
tulak,1
sunsung,1
minsarazo,1
lumazag,1
roloi,1
rumoloi,1
timus,1
bokoluvon,1
balais,1
kasangai,1
sandad,1
mivalun,1
rompok,1
koimbangan,1
yadiko,1
sangai,1
tuvis,1
mianggol,1
sambil,1
lukaton,1
luu,1
pantai,1
purog,1
hobut,1
abata,1
potongkizad,1
inangol,1
gonob,1
bangat,1
puas,1
puliut,1
lanoi,1
iku,1
ongkorizus,1
bunggung,1
manganu,1
alap,1
ungab,1
olabou,1
antason,1
mangantas,1
momokiring,1
sumuntu,1
manangsanganu,1
mongohino,1
monongkokorui,1
sahabol,1
manaud,1
kopomusus,1
sumuti,1
rinavat,1
ravat,1
goliom,1
gurunggum,1
tabpo,1
kondul,1
kambo,1
akid,1
loko,1
momulu,1
tizuk,1
impulong,1
hagut,1
ovoli,1
toruntud,1
nokopugamut,1
akum,1
humompit,1
antas,1
tolunsug,1
manakat,1
mongintuod,1
latang,1
momonod,1
kagal,1
bontongon,1
tivas,1
kohu,1
hangkul,1
tatap,1
amai,1
andab,1
mata,1
vungkaza,1
tasil,1
misarasap,1
siriba,1
sampit,1
valahan,1
oluhung,1
kaharati,1
pongohorotizan,1
kopiharati,1
santut,1
korumbototoi,1
labas,1
engatan,1
ohigong,1
tazob,1
huzad,1
tuno,1
olivantas,1
silaka,1
oborinut,1
kezaan,1
sungkit,1
dodom,1
salut,1
hakang,1
kihorogo,1
kumanis,1
harata,1
horogo,1
katagan,1
sumbul,1
babalan,1
minimpogu,1
oginisan,1
borinis,1
ozongou,1
ontirim,1
tavadak,1
kansoi,1
totodukon,1
kuluvu,1
pogu,1
gomu,1
podos,1
opodos,1
kalamangkag,1
apad,1
oturidong,1
alahis,1
lodtung,1
korojoho,1
insok,1
ohigak,1
bolongingit,1
ingkatulkatul,1
gunsikang,1
osunsurom,1
aparal,1
apasong,1
kolodting,1
akangou,1
akarui,1
avak,1
oboloti,1
monginud,1
humarap,1
kurotod,1
indan,1
minonginud,1
mongurotod,1
oposik,1
minamanau,1
minduzuw,1
vurudsu,1
solibaba,1
tumintin,1
lumava,1
